timestamp_ns,thread_id,event,callee_addr,callee_func,callee_fileline,caller_addr,caller_func,caller_fileline
1751729557632068189,51361,ENTER,0x402909,_GLOBAL__sub_I_main,/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:18,0x40901d,__libc_csu_init,??:?
1751729557632126794,51361,ENTER,0x40286a,"__static_initialization_and_destruction_0(int, int)",/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:18,0x402933,_GLOBAL__sub_I_main,/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:18
1751729557632263852,51361,EXIT,0x40286a,"__static_initialization_and_destruction_0(int, int)",/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:18,0x402933,_GLOBAL__sub_I_main,/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:18
1751729557632270458,51361,EXIT,0x402909,_GLOBAL__sub_I_main,/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:18,0x40901d,__libc_csu_init,??:?
1751729557632275265,51361,ENTER,0x40260b,main,/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:5,0x7ff21a89a083,??,??:0
1751729557632305560,51361,ENTER,0x403c52,Manager::Manager(),/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/Manager.hpp:7,0x402658,main,/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/main.cpp:8
1751729557632310937,51361,ENTER,0x4031ea,Worker::Worker(),/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/Worker.hpp:13,0x403c91,Manager::Manager(),/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/Manager.hpp:8
1751729557632315527,51361,ENTER,0x40407e,"std::queue<CalcJob, std::deque<CalcJob, std::allocator<CalcJob> > >::queue<std::deque<CalcJob, std::allocator<CalcJob> >, void>()",/usr/include/c++/9/bits/stl_queue.h:160,0x40321a,Worker::Worker(),/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/Worker.hpp:13 (discriminator 1)
1751729557632319953,51361,ENTER,0x404d92,"std::deque<CalcJob, std::allocator<CalcJob> >::deque()",/usr/include/c++/9/bits/stl_deque.h:915,0x4040ae,"std::queue<CalcJob, std::deque<CalcJob, std::allocator<CalcJob> > >::queue<std::deque<CalcJob, std::allocator<CalcJob> >, void>()",/usr/include/c++/9/bits/stl_queue.h:161
1751729557632324385,51361,ENTER,0x405c12,"std::_Deque_base<CalcJob, std::allocator<CalcJob> >::_Deque_base()",/usr/include/c++/9/bits/stl_deque.h:508,0x404dc2,"std::deque<CalcJob, std::allocator<CalcJob> >::deque()",/usr/include/c++/9/bits/stl_deque.h:915
1751729557632328695,51361,ENTER,0x4069a4,"std::_Deque_base<CalcJob, std::allocator<CalcJob> >::_Deque_impl::_Deque_impl()",/usr/include/c++/9/bits/stl_deque.h:575,0x405c42,"std::_Deque_base<CalcJob, std::allocator<CalcJob> >::_Deque_base()",/usr/include/c++/9/bits/stl_deque.h:510
1751729557632333037,51361,ENTER,0x407376,std::allocator<CalcJob>::allocator(),/usr/include/c++/9/bits/allocator.h:137,0x4069d3,"std::_Deque_base<CalcJob, std::allocator<CalcJob> >::_Deque_impl::_Deque_impl()",/usr/include/c++/9/bits/stl_deque.h:577
1751729557632337299,51361,ENTER,0x407d16,__gnu_cxx::new_allocator<CalcJob>::new_allocator(),/usr/include/c++/9/ext/new_allocator.h:80,0x4073a5,std::allocator<CalcJob>::allocator(),/usr/include/c++/9/bits/allocator.h:137
1751729557632341455,51361,EXIT,0x407d16,__gnu_cxx::new_allocator<CalcJob>::new_allocator(),/usr/include/c++/9/ext/new_allocator.h:80,0x4073a5,std::allocator<CalcJob>::allocator(),/usr/include/c++/9/bits/allocator.h:137
